timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/10 16:53:17.673, 0, 0, 81920, 29, 58.96
2026/02/10 16:53:47.675, 0, 0, 81920, 25, 57.69
2026/02/10 16:54:17.676, 0, 4, 81920, 25, 58.22
2026/02/10 16:54:47.677, 0, 4, 81920, 25, 57.64
2026/02/10 16:55:17.678, 0, 4, 81920, 25, 57.64
2026/02/10 16:55:47.679, 0, 4, 81920, 25, 57.64
2026/02/10 16:56:17.679, 0, 4, 81920, 24, 57.64
2026/02/10 16:56:47.680, 59, 3473, 81920, 31, 141.08
2026/02/10 16:57:17.681, 0, 557, 81920, 25, 68.73
2026/02/10 16:57:47.682, 0, 4, 81920, 25, 57.64
2026/02/10 16:58:17.682, 0, 4, 81920, 24, 57.71
2026/02/10 16:58:47.683, 0, 557, 81920, 25, 68.43
2026/02/10 16:59:17.683, 0, 4, 81920, 26, 57.96
2026/02/10 16:59:47.684, 0, 4, 81920, 24, 57.71
2026/02/10 17:00:17.684, 0, 557, 81920, 26, 68.97
2026/02/10 17:00:47.685, 0, 4, 81920, 27, 58.42
2026/02/10 17:01:17.686, 0, 4, 81920, 24, 57.64
2026/02/10 17:01:47.687, 60, 3139, 81920, 30, 160.01
2026/02/10 17:02:17.695, 0, 557, 81920, 25, 68.43
2026/02/10 17:02:47.696, 0, 4, 81920, 25, 57.71
2026/02/10 17:03:17.696, 0, 4, 81920, 24, 57.42
2026/02/10 17:03:47.696, 0, 557, 81920, 26, 68.51
2026/02/10 17:04:17.697, 36, 555, 81920, 30, 79.90
2026/02/10 17:04:47.698, 0, 4, 81920, 25, 57.71
2026/02/10 17:05:17.699, 0, 2723, 81920, 25, 68.27
2026/02/10 17:05:47.700, 0, 557, 81920, 25, 68.27
2026/02/10 17:06:17.701, 0, 4, 81920, 25, 57.71
2026/02/10 17:06:47.702, 0, 4, 81920, 24, 57.42
2026/02/10 17:07:17.702, 0, 557, 81920, 26, 68.51
2026/02/10 17:07:47.703, 95, 3187, 81920, 42, 266.46
2026/02/10 17:08:17.704, 0, 4, 81920, 25, 57.71
2026/02/10 17:08:47.704, 0, 4, 81920, 24, 57.42
2026/02/10 17:09:17.709, 0, 557, 81920, 25, 68.27
2026/02/10 17:09:47.709, 0, 4, 81920, 28, 69.34
2026/02/10 17:10:17.710, 0, 4, 81920, 24, 57.42
2026/02/10 17:10:47.710, 0, 2723, 81920, 25, 68.27
2026/02/10 17:11:17.711, 0, 557, 81920, 25, 68.27
2026/02/10 17:11:47.712, 0, 4, 81920, 25, 57.71
2026/02/10 17:12:17.713, 0, 4, 81920, 24, 57.42
2026/02/10 17:12:47.713, 0, 557, 81920, 26, 68.51
2026/02/10 17:13:17.714, 6, 3217, 81920, 33, 81.26
2026/02/10 17:13:47.715, 0, 4, 81920, 25, 57.42
2026/02/10 17:14:17.716, 0, 4, 81920, 24, 57.42
2026/02/10 17:14:47.716, 43, 3129, 81920, 29, 127.97
2026/02/10 17:15:17.721, 0, 557, 81920, 25, 68.27
2026/02/10 17:15:47.722, 0, 4, 81920, 25, 57.71
2026/02/10 17:16:17.723, 0, 4, 81920, 25, 57.71
2026/02/10 17:16:47.723, 0, 557, 81920, 26, 68.27
2026/02/10 17:17:17.724, 0, 4, 81920, 26, 58.25
2026/02/10 17:17:47.725, 0, 4, 81920, 24, 57.71
2026/02/10 17:18:17.726, 0, 557, 81920, 26, 68.51
2026/02/10 17:18:47.726, 95, 3179, 81920, 44, 252.16
2026/02/10 17:19:17.727, 0, 4, 81920, 25, 57.71
2026/02/10 17:19:47.728, 0, 2723, 81920, 25, 68.51
2026/02/10 17:20:17.728, 0, 557, 81920, 26, 68.51
2026/02/10 17:20:47.729, 0, 4, 81920, 26, 57.96
2026/02/10 17:21:17.730, 0, 4, 81920, 25, 57.71
2026/02/10 17:21:47.731, 0, 557, 81920, 26, 68.51
2026/02/10 17:22:17.731, 7, 3191, 81920, 32, 78.54
2026/02/10 17:22:47.732, 0, 4, 81920, 25, 57.51
2026/02/10 17:23:17.733, 60, 3141, 81920, 32, 143.54
2026/02/10 17:23:47.734, 96, 3167, 81920, 39, 269.71
2026/02/10 17:24:17.734, 0, 4, 81920, 25, 57.71
2026/02/10 17:24:47.742, 0, 4, 81920, 24, 57.71
2026/02/10 17:25:17.742, 0, 557, 81920, 26, 68.81
2026/02/10 17:25:47.743, 0, 4, 81920, 28, 69.34
2026/02/10 17:26:17.747, 0, 4, 81920, 25, 57.71
2026/02/10 17:26:47.748, 60, 3163, 81920, 32, 140.17
2026/02/10 17:27:17.749, 80, 3189, 81920, 37, 265.15
2026/02/10 17:27:47.749, 0, 4, 81920, 25, 57.71
2026/02/10 17:28:17.750, 0, 4, 81920, 25, 57.71
2026/02/10 17:28:47.751, 0, 557, 81920, 26, 68.51
2026/02/10 17:29:17.752, 0, 4, 81920, 29, 69.63
2026/02/10 17:29:47.753, 0, 4, 81920, 25, 57.71
2026/02/10 17:30:17.753, 60, 3185, 81920, 31, 131.52
2026/02/10 17:30:47.754, 0, 557, 81920, 26, 68.81
2026/02/10 17:31:17.755, 0, 4, 81920, 26, 57.69
2026/02/10 17:31:47.756, 0, 4, 81920, 25, 57.69
2026/02/10 17:32:17.757, 0, 4, 81920, 25, 57.71
2026/02/10 17:32:47.758, 0, 557, 81920, 26, 68.51
2026/02/10 17:33:17.758, 1, 519, 81920, 29, 69.87
2026/02/10 17:33:47.766, 0, 4, 81920, 25, 57.71
2026/02/10 17:34:17.767, 58, 3131, 81920, 32, 131.91
2026/02/10 17:34:47.768, 95, 3157, 81920, 42, 256.10
2026/02/10 17:35:17.769, 0, 4, 81920, 25, 57.76
2026/02/10 17:35:47.769, 0, 4, 81920, 25, 57.71
2026/02/10 17:36:17.770, 0, 557, 81920, 26, 68.51
2026/02/10 17:36:47.771, 0, 4, 81920, 28, 69.26
2026/02/10 17:37:17.772, 0, 4, 81920, 25, 57.71
2026/02/10 17:37:47.772, 0, 3093, 81920, 27, 102.80
2026/02/10 17:38:17.773, 0, 557, 81920, 26, 68.51
2026/02/10 17:38:47.774, 0, 4, 81920, 26, 57.96
2026/02/10 17:39:17.775, 0, 4, 81920, 25, 57.71
2026/02/10 17:39:47.776, 0, 557, 81920, 26, 68.51
2026/02/10 17:40:17.776, 66, 3135, 81920, 40, 194.18
2026/02/10 17:40:47.777, 0, 4, 81920, 25, 57.58
2026/02/10 17:41:17.778, 60, 3109, 81920, 31, 125.64
