timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/20 20:40:43.642, 0, 1, 24576, 65, 34.10
2026/02/20 20:41:13.644, 0, 4, 24576, 52, 23.43
2026/02/20 20:41:43.644, 0, 4, 24576, 48, 20.35
2026/02/20 20:42:13.644, 0, 4, 24576, 45, 19.10
2026/02/20 20:42:43.644, 0, 4, 24576, 44, 18.09
2026/02/20 20:43:13.645, 0, 4, 24576, 44, 17.70
2026/02/20 20:43:43.646, 0, 4, 24576, 43, 17.67
2026/02/20 20:44:13.647, 0, 4, 24576, 43, 17.72
2026/02/20 20:44:43.647, 0, 4, 24576, 42, 17.51
2026/02/20 20:45:13.648, 0, 4, 24576, 42, 17.57
2026/02/20 20:45:43.647, 0, 4, 24576, 42, 17.59
2026/02/20 20:46:13.648, 0, 4, 24576, 41, 17.20
2026/02/20 20:46:43.648, 0, 4, 24576, 41, 17.14
2026/02/20 20:47:13.648, 0, 4, 24576, 41, 17.32
2026/02/20 20:47:43.649, 0, 4, 24576, 40, 17.25
2026/02/20 20:48:13.649, 0, 4, 24576, 40, 17.47
