timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/20 20:39:43.638, 0, 1, 24576, 52, 29.75
2026/02/20 20:40:13.641, 0, 4, 24576, 47, 23.43
2026/02/20 20:40:43.642, 0, 4, 24576, 45, 20.23
2026/02/20 20:41:13.642, 0, 4, 24576, 44, 19.87
2026/02/20 20:41:43.643, 35, 3614, 24576, 59, 238.13
2026/02/20 20:42:13.644, 39, 3614, 24576, 62, 188.36
2026/02/20 20:42:43.645, 41, 4038, 24576, 63, 184.52
2026/02/20 20:43:13.645, 0, 4, 24576, 56, 29.87
2026/02/20 20:43:43.646, 0, 4, 24576, 48, 22.59
2026/02/20 20:44:13.647, 0, 4, 24576, 45, 20.77
2026/02/20 20:44:43.648, 0, 4, 24576, 43, 20.21
2026/02/20 20:45:13.648, 0, 4, 24576, 43, 20.57
2026/02/20 20:45:43.649, 0, 4, 24576, 43, 20.29
2026/02/20 20:46:13.650, 0, 4, 24576, 42, 21.37
2026/02/20 20:46:43.650, 0, 4, 24576, 42, 21.24
2026/02/20 20:47:13.651, 0, 4, 24576, 42, 21.00
2026/02/20 20:47:43.652, 0, 4, 24576, 41, 21.12
2026/02/20 20:48:13.652, 0, 4, 24576, 41, 21.14
