timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/20 20:40:44.050, 0, 1, 24576, 51, 30.89
2026/02/20 20:41:14.055, 0, 1, 24576, 48, 26.55
2026/02/20 20:41:44.055, 0, 4, 24576, 47, 25.22
2026/02/20 20:42:14.056, 0, 4, 24576, 47, 25.29
2026/02/20 20:42:44.057, 0, 4, 24576, 46, 24.83
2026/02/20 20:43:14.058, 0, 4, 24576, 46, 24.75
2026/02/20 20:43:44.059, 0, 4, 24576, 47, 24.83
2026/02/20 20:44:14.060, 0, 4, 24576, 47, 25.12
2026/02/20 20:44:44.061, 0, 4, 24576, 48, 24.93
2026/02/20 20:45:14.061, 0, 4, 24576, 48, 25.07
2026/02/20 20:45:44.062, 0, 4, 24576, 48, 24.91
2026/02/20 20:46:14.063, 0, 4, 24576, 48, 25.34
2026/02/20 20:46:44.064, 0, 4, 24576, 48, 25.20
2026/02/20 20:47:14.064, 0, 4, 24576, 48, 24.90
2026/02/20 20:47:44.065, 0, 4, 24576, 48, 24.95
2026/02/20 20:48:14.066, 0, 4, 24576, 48, 24.85
