timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/03 13:24:59.588, 0, 0, 81920, 23, 57.51
2026/02/03 13:25:29.590, 0, 0, 81920, 23, 57.71
2026/02/03 13:25:59.591, 0, 4, 81920, 23, 57.42
2026/02/03 13:26:29.592, 0, 4, 81920, 23, 57.42
2026/02/03 13:26:59.594, 0, 4, 81920, 22, 57.42
2026/02/03 13:27:29.595, 0, 4, 81920, 22, 57.42
2026/02/03 13:27:59.595, 0, 4, 81920, 22, 57.42
2026/02/03 13:28:29.596, 0, 4, 81920, 22, 57.42
2026/02/03 13:28:59.597, 0, 4, 81920, 22, 57.42
2026/02/03 13:29:29.598, 0, 4, 81920, 22, 57.42
2026/02/03 13:29:59.598, 0, 2609, 81920, 23, 67.98
2026/02/03 13:30:29.602, 0, 557, 81920, 24, 68.19
2026/02/03 13:30:59.603, 97, 6185, 81920, 42, 288.77
2026/02/03 13:31:29.603, 0, 4, 81920, 23, 57.42
2026/02/03 13:31:59.604, 0, 3061, 81920, 23, 68.27
2026/02/03 13:32:29.605, 0, 557, 81920, 23, 68.03
2026/02/03 13:32:59.606, 0, 4, 81920, 25, 57.96
2026/02/03 13:33:29.606, 0, 4, 81920, 23, 57.64
2026/02/03 13:33:59.607, 0, 557, 81920, 26, 76.91
2026/02/03 13:34:29.608, 97, 6279, 81920, 41, 278.55
2026/02/03 13:34:59.608, 0, 4, 81920, 23, 57.35
2026/02/03 13:35:29.609, 0, 4, 81920, 22, 56.99
2026/02/03 13:35:59.610, 0, 557, 81920, 23, 67.98
2026/02/03 13:36:29.611, 0, 4, 81920, 27, 68.73
2026/02/03 13:36:59.612, 0, 4, 81920, 22, 57.28
2026/02/03 13:37:29.613, 92, 7815, 81920, 36, 199.19
2026/02/03 13:37:59.614, 100, 6337, 81920, 37, 307.53
2026/02/03 13:38:29.614, 0, 4, 81920, 24, 57.82
2026/02/03 13:38:59.615, 0, 4, 81920, 23, 57.71
2026/02/03 13:39:29.615, 0, 557, 81920, 24, 68.27
2026/02/03 13:39:59.616, 97, 6313, 81920, 42, 279.67
2026/02/03 13:40:29.616, 0, 4, 81920, 23, 57.71
2026/02/03 13:40:59.617, 100, 7737, 81920, 36, 300.44
2026/02/03 13:41:29.618, 0, 557, 81920, 24, 68.27
2026/02/03 13:41:59.619, 0, 4, 81920, 24, 57.71
2026/02/03 13:42:29.619, 0, 4, 81920, 23, 57.13
2026/02/03 13:42:59.620, 91, 7767, 81920, 35, 197.07
2026/02/03 13:43:29.621, 97, 6305, 81920, 39, 257.46
2026/02/03 13:43:59.621, 0, 4, 81920, 23, 57.42
2026/02/03 13:44:29.621, 0, 4, 81920, 22, 57.28
2026/02/03 13:44:59.622, 0, 557, 81920, 24, 67.98
2026/02/03 13:45:29.623, 63, 555, 81920, 29, 78.20
2026/02/03 13:45:59.623, 0, 4, 81920, 23, 57.42
2026/02/03 13:46:29.624, 0, 3061, 81920, 23, 67.90
2026/02/03 13:46:59.625, 0, 557, 81920, 23, 68.03
2026/02/03 13:47:29.626, 0, 4, 81920, 25, 57.71
2026/02/03 13:47:59.627, 0, 4, 81920, 22, 57.35
2026/02/03 13:48:29.627, 2, 7833, 81920, 28, 79.27
2026/02/03 13:48:59.627, 97, 6333, 81920, 39, 269.69
2026/02/03 13:49:29.628, 0, 4, 81920, 23, 57.42
2026/02/03 13:49:59.629, 0, 4, 81920, 22, 57.42
2026/02/03 13:50:29.629, 0, 557, 81920, 24, 68.51
2026/02/03 13:50:59.630, 97, 6265, 81920, 42, 292.06
2026/02/03 13:51:29.630, 0, 4, 81920, 23, 57.71
2026/02/03 13:51:59.631, 100, 7803, 81920, 34, 305.29
2026/02/03 13:52:29.631, 0, 557, 81920, 23, 68.27
2026/02/03 13:52:59.632, 0, 4, 81920, 25, 57.96
2026/02/03 13:53:29.632, 0, 4, 81920, 22, 57.35
2026/02/03 13:53:59.633, 0, 557, 81920, 26, 76.93
2026/02/03 13:54:29.633, 97, 6295, 81920, 40, 288.29
2026/02/03 13:54:59.634, 0, 4, 81920, 23, 57.42
2026/02/03 13:55:29.635, 0, 4, 81920, 22, 57.42
2026/02/03 13:55:59.636, 0, 557, 81920, 24, 68.27
2026/02/03 13:56:29.636, 77, 555, 81920, 29, 78.20
2026/02/03 13:56:59.637, 0, 4, 81920, 23, 57.13
2026/02/03 13:57:29.638, 0, 4, 81920, 22, 57.13
2026/02/03 13:57:59.638, 0, 4, 81920, 22, 56.99
2026/02/03 13:58:29.639, 0, 557, 81920, 26, 77.09
2026/02/03 13:58:59.640, 97, 6275, 81920, 41, 283.44
2026/02/03 13:59:29.641, 0, 4, 81920, 23, 57.42
2026/02/03 13:59:59.642, 0, 4, 81920, 23, 57.13
2026/02/03 14:00:29.643, 0, 557, 81920, 24, 68.51
2026/02/03 14:00:59.644, 6, 6321, 81920, 31, 77.91
2026/02/03 14:01:29.644, 0, 4, 81920, 23, 57.71
2026/02/03 14:01:59.645, 91, 7643, 81920, 35, 214.62
2026/02/03 14:02:29.646, 0, 2697, 81920, 24, 68.27
2026/02/03 14:02:59.646, 0, 4, 81920, 24, 57.58
2026/02/03 14:03:29.647, 0, 4, 81920, 23, 57.42
2026/02/03 14:03:59.647, 0, 557, 81920, 26, 68.73
2026/02/03 14:04:29.647, 96, 6307, 81920, 41, 295.69
2026/02/03 14:04:59.648, 0, 4, 81920, 24, 57.71
2026/02/03 14:05:29.653, 0, 4, 81920, 23, 57.42
2026/02/03 14:05:59.654, 0, 557, 81920, 24, 68.51
2026/02/03 14:06:29.654, 0, 555, 81920, 29, 78.00
2026/02/03 14:06:59.655, 0, 4, 81920, 23, 57.71
2026/02/03 14:07:29.656, 90, 7709, 81920, 35, 209.24
2026/02/03 14:07:59.656, 100, 6259, 81920, 38, 288.82
2026/02/03 14:08:29.657, 0, 4, 81920, 24, 57.71
2026/02/03 14:08:59.658, 0, 4, 81920, 23, 57.71
2026/02/03 14:09:29.659, 0, 557, 81920, 24, 68.43
2026/02/03 14:09:59.660, 7, 6253, 81920, 31, 77.67
2026/02/03 14:10:29.660, 0, 4, 81920, 23, 57.71
2026/02/03 14:10:59.661, 92, 7679, 81920, 35, 216.83
2026/02/03 14:11:29.662, 28, 2697, 81920, 24, 69.05
2026/02/03 14:11:59.662, 0, 4, 81920, 24, 57.71
2026/02/03 14:12:29.663, 0, 4, 81920, 23, 57.28
2026/02/03 14:12:59.663, 0, 557, 81920, 25, 68.51
2026/02/03 14:13:29.664, 97, 6299, 81920, 41, 299.52
2026/02/03 14:13:59.664, 0, 4, 81920, 23, 57.22
2026/02/03 14:14:29.665, 0, 4, 81920, 23, 57.42
2026/02/03 14:14:59.666, 0, 557, 81920, 24, 68.51
2026/02/03 14:15:29.666, 0, 4, 81920, 27, 68.97
2026/02/03 14:15:59.667, 0, 4, 81920, 23, 57.58
2026/02/03 14:16:29.668, 3, 7511, 81920, 29, 78.54
2026/02/03 14:16:59.668, 97, 6115, 81920, 39, 229.22
2026/02/03 14:17:29.669, 0, 4, 81920, 23, 57.42
2026/02/03 14:17:59.670, 0, 4, 81920, 22, 57.42
2026/02/03 14:18:29.671, 0, 557, 81920, 24, 67.98
2026/02/03 14:18:59.671, 7, 6209, 81920, 32, 78.54
2026/02/03 14:19:29.676, 0, 4, 81920, 23, 57.42
2026/02/03 14:19:59.676, 92, 7493, 81920, 36, 201.62
2026/02/03 14:20:29.677, 100, 6115, 81920, 38, 289.64
2026/02/03 14:20:59.678, 0, 4, 81920, 24, 57.71
2026/02/03 14:21:29.678, 0, 4, 81920, 23, 57.42
2026/02/03 14:21:59.679, 0, 557, 81920, 24, 68.27
2026/02/03 14:22:29.680, 98, 6209, 81920, 43, 291.53
2026/02/03 14:22:59.681, 0, 4, 81920, 23, 57.42
2026/02/03 14:23:29.681, 100, 7733, 81920, 34, 80.06
2026/02/03 14:23:59.682, 0, 557, 81920, 24, 68.27
2026/02/03 14:24:29.683, 0, 4, 81920, 24, 57.51
2026/02/03 14:24:59.684, 0, 4, 81920, 23, 57.44
2026/02/03 14:25:29.684, 0, 4, 81920, 22, 57.51
2026/02/03 14:25:59.685, 0, 4, 81920, 22, 57.15
2026/02/03 14:26:29.685, 0, 557, 81920, 24, 67.95
2026/02/03 14:26:59.686, 97, 6265, 81920, 42, 272.75
2026/02/03 14:27:29.687, 0, 4, 81920, 23, 57.22
2026/02/03 14:27:59.687, 90, 7765, 81920, 35, 201.79
2026/02/03 14:28:29.687, 0, 557, 81920, 23, 68.27
2026/02/03 14:28:59.688, 0, 4, 81920, 24, 57.78
2026/02/03 14:29:29.689, 0, 4, 81920, 23, 57.42
2026/02/03 14:29:59.690, 0, 557, 81920, 25, 68.51
2026/02/03 14:30:29.690, 97, 6115, 81920, 40, 271.89
2026/02/03 14:30:59.691, 0, 4, 81920, 23, 57.71
2026/02/03 14:31:29.691, 0, 4, 81920, 22, 57.42
2026/02/03 14:31:59.693, 0, 557, 81920, 24, 67.98
2026/02/03 14:32:29.693, 0, 555, 81920, 28, 78.29
2026/02/03 14:32:59.694, 0, 4, 81920, 23, 57.13
2026/02/03 14:33:29.694, 91, 7593, 81920, 34, 220.30
2026/02/03 14:33:59.695, 0, 1263, 81920, 23, 69.63
2026/02/03 14:34:29.696, 0, 4, 81920, 24, 57.71
2026/02/03 14:34:59.697, 0, 4, 81920, 23, 57.28
2026/02/03 14:35:29.698, 0, 557, 81920, 24, 67.98
2026/02/03 14:35:59.698, 97, 6133, 81920, 43, 298.98
2026/02/03 14:36:29.699, 0, 4, 81920, 23, 57.22
2026/02/03 14:36:59.700, 90, 7681, 81920, 35, 205.16
2026/02/03 14:37:29.700, 17, 2697, 81920, 24, 67.98
2026/02/03 14:37:59.701, 0, 4, 81920, 24, 57.96
2026/02/03 14:38:29.702, 0, 4, 81920, 23, 57.71
2026/02/03 14:38:59.703, 91, 7801, 81920, 36, 208.95
2026/02/03 14:39:29.703, 100, 6325, 81920, 37, 296.38
2026/02/03 14:39:59.704, 0, 4, 81920, 24, 57.42
2026/02/03 14:40:29.704, 0, 4, 81920, 23, 57.42
2026/02/03 14:40:59.705, 0, 557, 81920, 24, 68.51
2026/02/03 14:41:29.706, 96, 6153, 81920, 41, 295.02
2026/02/03 14:41:59.706, 0, 4, 81920, 23, 57.42
2026/02/03 14:42:29.707, 54, 7711, 81920, 34, 204.63
2026/02/03 14:42:59.707, 0, 557, 81920, 24, 68.51
2026/02/03 14:43:29.708, 0, 4, 81920, 24, 57.96
2026/02/03 14:43:59.709, 0, 4, 81920, 23, 57.64
2026/02/03 14:44:29.710, 0, 557, 81920, 25, 68.57
2026/02/03 14:44:59.710, 97, 6119, 81920, 42, 273.71
2026/02/03 14:45:29.711, 0, 4, 81920, 23, 57.64
2026/02/03 14:45:59.712, 3, 1141, 81920, 23, 69.63
2026/02/03 14:46:29.712, 0, 557, 81920, 24, 68.27
2026/02/03 14:46:59.713, 0, 4, 81920, 27, 69.05
2026/02/03 14:47:29.714, 0, 4, 81920, 23, 57.35
2026/02/03 14:47:59.714, 92, 7681, 81920, 36, 202.57
2026/02/03 14:48:29.714, 100, 6233, 81920, 38, 292.31
2026/02/03 14:48:59.715, 0, 4, 81920, 23, 57.35
2026/02/03 14:49:29.715, 0, 4, 81920, 23, 57.64
2026/02/03 14:49:59.716, 0, 557, 81920, 24, 67.98
2026/02/03 14:50:29.717, 0, 555, 81920, 29, 78.29
2026/02/03 14:50:59.718, 0, 4, 81920, 23, 57.42
2026/02/03 14:51:29.719, 91, 7733, 81920, 36, 196.23
2026/02/03 14:51:59.719, 63, 6275, 81920, 32, 292.11
2026/02/03 14:52:29.720, 0, 4, 81920, 24, 57.71
2026/02/03 14:52:59.721, 0, 4, 81920, 23, 57.71
2026/02/03 14:53:29.722, 0, 4, 81920, 23, 57.42
2026/02/03 14:53:59.722, 0, 4, 81920, 23, 57.42
2026/02/03 14:54:29.723, 0, 557, 81920, 24, 68.11
2026/02/03 14:54:59.724, 15, 6067, 81920, 32, 79.07
2026/02/03 14:55:29.725, 0, 4, 81920, 23, 57.42
