timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/02/03 13:24:59.571, 0, 0, 81920, 24, 59.04
2026/02/03 13:25:29.572, 0, 0, 81920, 24, 58.96
2026/02/03 13:25:59.573, 0, 4, 81920, 24, 59.03
2026/02/03 13:26:29.575, 0, 4, 81920, 24, 59.03
2026/02/03 13:26:59.576, 0, 4, 81920, 23, 58.96
2026/02/03 13:27:29.577, 0, 4, 81920, 23, 58.78
2026/02/03 13:27:59.578, 0, 4, 81920, 23, 58.78
2026/02/03 13:28:29.579, 0, 4, 81920, 23, 58.78
2026/02/03 13:28:59.580, 0, 4, 81920, 23, 59.03
2026/02/03 13:29:29.581, 0, 4, 81920, 23, 59.03
2026/02/03 13:29:59.581, 0, 2617, 81920, 24, 70.09
2026/02/03 13:30:29.582, 0, 557, 81920, 24, 70.17
2026/02/03 13:30:59.583, 0, 555, 81920, 27, 71.28
2026/02/03 13:31:29.584, 0, 4, 81920, 23, 59.03
2026/02/03 13:31:59.585, 0, 557, 81920, 26, 79.27
2026/02/03 13:32:29.586, 96, 3557, 81920, 38, 234.90
2026/02/03 13:32:59.586, 0, 4, 81920, 24, 59.03
2026/02/03 13:33:29.587, 61, 3531, 81920, 29, 139.35
2026/02/03 13:33:59.588, 84, 3541, 81920, 33, 276.42
2026/02/03 13:34:29.588, 0, 4, 81920, 24, 59.18
2026/02/03 13:34:59.589, 62, 3519, 81920, 29, 152.73
2026/02/03 13:35:29.590, 83, 3525, 81920, 31, 199.26
2026/02/03 13:35:59.591, 0, 4, 81920, 24, 59.03
2026/02/03 13:36:29.591, 62, 3531, 81920, 28, 151.62
2026/02/03 13:36:59.592, 83, 3535, 81920, 30, 192.75
2026/02/03 13:37:29.593, 0, 4, 81920, 24, 59.18
2026/02/03 13:37:59.594, 62, 3545, 81920, 29, 160.52
2026/02/03 13:38:29.594, 13, 3549, 81920, 27, 162.73
2026/02/03 13:38:59.595, 0, 4, 81920, 24, 59.32
2026/02/03 13:39:29.596, 0, 4, 81920, 23, 59.03
2026/02/03 13:39:59.596, 0, 557, 81920, 24, 70.17
2026/02/03 13:40:29.597, 0, 4, 81920, 25, 59.32
2026/02/03 13:40:59.598, 0, 4, 81920, 23, 58.82
2026/02/03 13:41:29.598, 0, 557, 81920, 24, 70.17
2026/02/03 13:41:59.598, 0, 4, 81920, 25, 59.61
2026/02/03 13:42:29.599, 0, 4, 81920, 23, 59.03
2026/02/03 13:42:59.600, 0, 557, 81920, 25, 70.25
2026/02/03 13:43:29.600, 97, 3517, 81920, 38, 274.96
2026/02/03 13:43:59.601, 0, 4, 81920, 23, 59.03
2026/02/03 13:44:29.601, 62, 3507, 81920, 28, 140.84
2026/02/03 13:44:59.602, 0, 2697, 81920, 24, 70.17
2026/02/03 13:45:29.603, 0, 4, 81920, 24, 59.03
2026/02/03 13:45:59.604, 0, 4, 81920, 23, 59.03
2026/02/03 13:46:29.604, 64, 3521, 81920, 29, 156.52
2026/02/03 13:46:59.605, 96, 3533, 81920, 37, 267.27
2026/02/03 13:47:29.605, 0, 4, 81920, 24, 59.03
2026/02/03 13:47:59.606, 47, 3485, 81920, 27, 135.31
2026/02/03 13:48:29.606, 0, 557, 81920, 24, 70.09
2026/02/03 13:48:59.607, 0, 4, 81920, 24, 59.11
2026/02/03 13:49:29.607, 0, 4, 81920, 23, 59.03
2026/02/03 13:49:59.608, 0, 557, 81920, 24, 70.41
2026/02/03 13:50:29.609, 0, 4, 81920, 24, 59.25
2026/02/03 13:50:59.609, 0, 4, 81920, 23, 58.82
2026/02/03 13:51:29.610, 0, 557, 81920, 24, 69.87
2026/02/03 13:51:59.611, 0, 4, 81920, 25, 59.33
2026/02/03 13:52:29.611, 0, 4, 81920, 23, 59.03
2026/02/03 13:52:59.612, 0, 557, 81920, 24, 70.09
2026/02/03 13:53:29.613, 0, 4, 81920, 27, 80.88
2026/02/03 13:53:59.614, 0, 4, 81920, 23, 58.96
2026/02/03 13:54:29.614, 0, 557, 81920, 24, 70.17
2026/02/03 13:54:59.615, 0, 4, 81920, 27, 70.86
2026/02/03 13:55:29.616, 0, 4, 81920, 23, 59.03
2026/02/03 13:55:59.616, 0, 557, 81920, 25, 70.09
2026/02/03 13:56:29.617, 0, 555, 81920, 28, 80.88
2026/02/03 13:56:59.618, 0, 4, 81920, 24, 58.96
2026/02/03 13:57:29.618, 0, 557, 81920, 25, 70.09
2026/02/03 13:57:59.619, 96, 3541, 81920, 38, 276.13
2026/02/03 13:58:29.619, 0, 4, 81920, 24, 59.03
2026/02/03 13:58:59.620, 0, 4, 81920, 24, 58.82
2026/02/03 13:59:29.621, 0, 557, 81920, 25, 70.09
2026/02/03 13:59:59.621, 0, 4, 81920, 27, 71.16
2026/02/03 14:00:29.622, 0, 4, 81920, 24, 59.03
2026/02/03 14:00:59.631, 0, 557, 81920, 25, 70.33
2026/02/03 14:01:29.631, 0, 519, 81920, 28, 81.26
2026/02/03 14:01:59.632, 0, 4, 81920, 24, 58.89
2026/02/03 14:02:29.632, 0, 557, 81920, 25, 70.62
2026/02/03 14:02:59.632, 96, 3541, 81920, 38, 249.44
2026/02/03 14:03:29.633, 0, 4, 81920, 24, 59.32
2026/02/03 14:03:59.633, 59, 3521, 81920, 29, 156.52
2026/02/03 14:04:29.634, 82, 3527, 81920, 30, 210.11
2026/02/03 14:04:59.634, 0, 4, 81920, 24, 59.32
2026/02/03 14:05:29.635, 0, 4, 81920, 24, 59.03
2026/02/03 14:05:59.636, 0, 557, 81920, 25, 70.41
2026/02/03 14:06:29.637, 0, 4, 81920, 25, 59.61
2026/02/03 14:06:59.637, 0, 4, 81920, 24, 59.32
2026/02/03 14:07:29.638, 0, 557, 81920, 25, 70.25
2026/02/03 14:07:59.638, 0, 4, 81920, 26, 59.64
2026/02/03 14:08:29.639, 0, 4, 81920, 24, 59.32
2026/02/03 14:08:59.639, 0, 557, 81920, 25, 70.41
2026/02/03 14:09:29.640, 7, 3537, 81920, 30, 82.00
2026/02/03 14:09:59.641, 0, 4, 81920, 24, 59.03
2026/02/03 14:10:29.641, 0, 557, 81920, 26, 70.70
2026/02/03 14:10:59.641, 96, 3531, 81920, 39, 243.78
2026/02/03 14:11:29.642, 0, 4, 81920, 24, 59.32
2026/02/03 14:11:59.642, 0, 557, 81920, 26, 79.90
2026/02/03 14:12:29.642, 96, 3533, 81920, 38, 286.93
2026/02/03 14:12:59.643, 0, 4, 81920, 24, 59.03
2026/02/03 14:13:29.644, 62, 3507, 81920, 29, 161.24
2026/02/03 14:13:59.645, 97, 3519, 81920, 35, 276.42
2026/02/03 14:14:29.646, 0, 4, 81920, 24, 59.03
2026/02/03 14:14:59.646, 0, 4, 81920, 23, 59.03
2026/02/03 14:15:29.648, 63, 3529, 81920, 29, 137.83
