timestamp,gpu_util_percent,memory_used_mb,memory_total_mb,temperature_c,power_draw_w
2026/01/31 02:22:24.349, 0, 1, 16384, 34, 5.54
2026/01/31 02:22:54.362, 0, 1, 16384, 31, 4.88
2026/01/31 02:23:24.372, 0, 4, 16384, 29, 4.94
2026/01/31 02:23:54.381, 0, 4, 16384, 28, 5.34
2026/01/31 02:24:24.391, 0, 4, 16384, 28, 4.91
2026/01/31 02:24:54.401, 0, 4, 16384, 27, 5.09
2026/01/31 02:25:24.409, 0, 4, 16384, 27, 4.96
2026/01/31 02:25:54.418, 0, 188, 16384, 41, 43.60
2026/01/31 02:26:24.423, 100, 2732, 16384, 54, 213.49
2026/01/31 02:26:54.429, 0, 4, 16384, 40, 5.71
2026/01/31 02:27:24.438, 0, 4, 16384, 33, 5.60
2026/01/31 02:27:54.448, 0, 188, 16384, 46, 44.13
2026/01/31 02:28:24.476, 97, 2714, 16384, 69, 225.24
2026/01/31 02:28:54.481, 0, 4, 16384, 39, 6.29
2026/01/31 02:29:24.490, 0, 4, 16384, 33, 5.07
2026/01/31 02:29:54.499, 0, 188, 16384, 42, 43.61
2026/01/31 02:30:24.504, 97, 2758, 16384, 81, 229.60
2026/01/31 02:30:54.510, 0, 4, 16384, 36, 5.13
2026/01/31 02:31:24.519, 100, 2686, 16384, 61, 214.24
2026/01/31 02:31:54.526, 0, 188, 16384, 37, 5.12
2026/01/31 02:32:24.535, 0, 4, 16384, 51, 44.76
2026/01/31 02:32:54.540, 0, 4, 16384, 34, 5.00
2026/01/31 02:33:24.549, 0, 188, 16384, 45, 44.02
2026/01/31 02:33:54.554, 97, 2716, 16384, 74, 234.85
2026/01/31 02:34:24.563, 0, 4, 16384, 35, 5.27
2026/01/31 02:34:54.572, 3, 2352, 16384, 31, 42.38
2026/01/31 02:35:24.577, 0, 188, 16384, 32, 6.56
2026/01/31 02:35:54.586, 0, 186, 16384, 54, 45.05
2026/01/31 02:36:24.592, 0, 4, 16384, 29, 4.73
2026/01/31 02:36:54.602, 0, 188, 16384, 42, 43.99
2026/01/31 02:37:24.607, 100, 2706, 16384, 62, 205.77
2026/01/31 02:37:54.612, 0, 4, 16384, 34, 5.45
2026/01/31 02:38:24.621, 0, 4, 16384, 28, 4.83
2026/01/31 02:38:54.630, 0, 188, 16384, 36, 43.02
2026/01/31 02:39:24.635, 97, 2728, 16384, 76, 217.58
2026/01/31 02:39:54.641, 0, 4, 16384, 30, 5.51
2026/01/31 02:40:24.650, 100, 2686, 16384, 41, 208.09
2026/01/31 02:40:54.657, 0, 188, 16384, 31, 4.91
2026/01/31 02:41:24.665, 0, 150, 16384, 51, 44.75
2026/01/31 02:41:54.670, 0, 4, 16384, 29, 5.30
2026/01/31 02:42:24.680, 0, 188, 16384, 39, 43.25
2026/01/31 02:42:54.685, 97, 2706, 16384, 68, 215.93
2026/01/31 02:43:24.691, 0, 4, 16384, 33, 4.84
2026/01/31 02:43:54.700, 0, 4, 16384, 27, 5.35
2026/01/31 02:44:24.709, 0, 2248, 16384, 29, 41.05
2026/01/31 02:44:54.714, 0, 188, 16384, 31, 10.23
2026/01/31 02:45:24.723, 2, 186, 16384, 53, 44.97
2026/01/31 02:45:54.728, 0, 4, 16384, 29, 4.77
2026/01/31 02:46:24.737, 50, 2676, 16384, 50, 121.87
2026/01/31 02:46:54.743, 0, 188, 16384, 29, 4.72
2026/01/31 02:47:24.752, 0, 4, 16384, 41, 6.24
2026/01/31 02:47:54.761, 0, 4, 16384, 28, 4.83
2026/01/31 02:48:24.770, 0, 188, 16384, 37, 42.84
2026/01/31 02:48:54.775, 97, 2710, 16384, 72, 217.97
2026/01/31 02:49:24.781, 0, 4, 16384, 31, 5.11
2026/01/31 02:49:54.790, 100, 2686, 16384, 51, 208.28
2026/01/31 02:50:24.796, 0, 188, 16384, 31, 4.90
2026/01/31 02:50:54.805, 2, 4, 16384, 49, 44.64
2026/01/31 02:51:24.810, 0, 4, 16384, 29, 5.20
2026/01/31 02:51:54.818, 0, 188, 16384, 39, 43.27
2026/01/31 02:52:24.823, 97, 2728, 16384, 66, 227.94
2026/01/31 02:52:54.832, 0, 4, 16384, 33, 8.02
2026/01/31 02:53:24.841, 0, 4, 16384, 27, 5.33
2026/01/31 02:53:54.849, 0, 188, 16384, 35, 42.63
2026/01/31 02:54:24.854, 97, 2732, 16384, 74, 209.52
2026/01/31 02:54:54.860, 0, 4, 16384, 30, 5.28
2026/01/31 02:55:24.869, 10, 2678, 16384, 49, 54.69
2026/01/31 02:55:54.875, 100, 2708, 16384, 55, 207.63
2026/01/31 02:56:24.881, 0, 4, 16384, 35, 5.34
2026/01/31 02:56:54.890, 0, 4, 16384, 28, 4.98
2026/01/31 02:57:24.898, 0, 188, 16384, 37, 42.89
2026/01/31 02:57:54.904, 97, 2716, 16384, 71, 225.04
2026/01/31 02:58:24.909, 0, 4, 16384, 32, 5.31
2026/01/31 02:58:54.918, 0, 4, 16384, 27, 5.00
2026/01/31 02:59:24.927, 0, 188, 16384, 35, 43.01
2026/01/31 02:59:54.932, 97, 2728, 16384, 77, 229.30
2026/01/31 03:00:24.939, 0, 4, 16384, 30, 5.72
2026/01/31 03:00:54.948, 66, 2728, 16384, 55, 140.95
2026/01/31 03:01:24.954, 0, 2328, 16384, 32, 42.24
2026/01/31 03:01:54.959, 0, 4, 16384, 37, 5.38
