timestamp,cpu_util_percent,memory_used_mb,memory_total_mb,load_avg_1min
2026-02-20 20:39:43,8.8,22784,192093,3.77
2026-02-20 20:40:14,9.5,23555,192093,3.85
2026-02-20 20:40:45,8.9,24164,192093,4.12
2026-02-20 20:41:15,9.7,28140,192093,3.69
2026-02-20 20:41:46,8.4,30917,192093,3.49
2026-02-20 20:42:17,10.0,30949,192093,3.30
2026-02-20 20:42:47,8.5,30946,192093,3.18
2026-02-20 20:43:18,8.4,24936,192093,3.16
2026-02-20 20:43:49,5.7,25204,192093,2.82
2026-02-20 20:44:19,5.6,25222,192093,2.57
2026-02-20 20:44:50,5.7,25123,192093,2.34
2026-02-20 20:45:21,5.7,25244,192093,2.21
2026-02-20 20:45:52,5.6,25243,192093,2.12
2026-02-20 20:46:22,5.7,25245,192093,2.07
2026-02-20 20:46:53,5.6,25248,192093,2.10
2026-02-20 20:47:24,5.6,25274,192093,2.13
2026-02-20 20:47:54,5.6,25270,192093,2.08
2026-02-20 20:48:25,2.8,25053,192093,1.70
